funsim_death_log
days=44872
total_births=447657
total_deaths=337685
final_population=110754
starvation=0
dehydration=0
old_age=113
war=149
disease=12
macro_natural=336933
macro_starvation=0
macro_fire=0
macro_disease=478

# micro_deaths
day,id,reason
1500,50,disease
1950,1,disease
2610,193,disease
2640,159,disease
6270,157,disease
6540,9,disease
8310,3,disease
11580,4,disease
12240,2507,disease
12720,65,disease
12990,1490,disease
13950,5016,disease
43552,357,old_age
43552,358,old_age
43552,359,old_age
43552,360,old_age
43552,3800,old_age
43552,3801,old_age
43552,3802,old_age
43552,3803,old_age
43552,3806,old_age
43552,3807,old_age
43552,3808,old_age
43552,7536,old_age
43552,7537,old_age
43552,7538,old_age
43552,7539,old_age
43552,7542,old_age
43552,7543,old_age
43552,7545,old_age
43552,7546,old_age
43552,9559,old_age
43552,9560,old_age
43552,16708,old_age
43552,16710,old_age
43552,16712,old_age
43552,16714,old_age
43552,16716,old_age
43552,16717,old_age
43552,16719,old_age
43552,16721,old_age
43552,16722,old_age
43552,17207,old_age
43552,17208,old_age
43552,17209,old_age
43552,21825,old_age
43552,21828,old_age
43552,21829,old_age
43552,21830,old_age
43552,21831,old_age
43552,21832,old_age
43552,21833,old_age
43552,21834,old_age
43552,21836,old_age
43552,27975,old_age
43552,27977,old_age
43552,27978,old_age
43552,27979,old_age
43552,27981,old_age
43552,27983,old_age
43552,27985,old_age
43552,27986,old_age
43552,27988,old_age
43552,27989,old_age
43552,27990,old_age
43552,27992,old_age
43552,27994,old_age
43552,27995,old_age
43552,27996,old_age
43552,27997,old_age
43552,29713,old_age
43552,29715,old_age
43552,30636,old_age
43552,32564,old_age
43552,32566,old_age
43552,35905,old_age
43552,35907,old_age
43552,35908,old_age
43552,35909,old_age
43552,35910,old_age
43552,38218,old_age
43552,38219,old_age
43552,40406,old_age
43552,40407,old_age
43552,40408,old_age
43552,40409,old_age
43552,40412,old_age
43552,40413,old_age
43552,41264,old_age
43552,41265,old_age
43552,43801,old_age
43552,43802,old_age
43552,43803,old_age
43552,43804,old_age
43552,43805,old_age
43552,45754,old_age
43552,45755,old_age
43552,45756,old_age
43552,45757,old_age
43552,45758,old_age
43552,48281,old_age
43552,48283,old_age
43552,48285,old_age
43552,48286,old_age
43552,48287,old_age
43552,48288,old_age
43552,48289,old_age
43552,48290,old_age
43552,49415,old_age
43552,49416,old_age
43552,50884,old_age
43552,50885,old_age
43582,16713,old_age
43582,16720,old_age
43612,21837,old_age
43612,43800,old_age
43642,27987,old_age
43642,40410,old_age
43672,32565,old_age
43852,27993,old_age
44182,38221,old_age
44302,3799,old_age
44332,16718,old_age
44392,16709,old_age
44452,51093,war
44452,51085,war
44452,51071,war
44482,51070,war
44482,51094,war
44512,51057,war
44512,80631,war
44512,74947,war
44512,86329,war
44512,80673,war
44542,75000,war
44542,68626,war
44542,86321,war
44542,68686,war
44542,50946,war
44542,74819,war
44542,86294,war
44542,80854,war
44542,74852,war
44542,86310,war
44542,78680,war
44542,74834,war
44542,80650,war
44542,74851,war
44542,74833,war
44542,80848,war
44542,74829,war
44542,80657,war
44542,74824,war
44542,74788,war
44542,74847,war
44542,74839,war
44542,74860,war
44542,74786,war
44542,74820,war
44542,80820,war
44542,74859,war
44542,80813,war
44542,68642,war
44542,74838,war
44542,74835,war
44542,74855,war
44542,74848,war
44542,68612,war
44542,86352,war
44542,74785,war
44542,74809,war
44542,80708,war
44542,74862,war
44542,74955,war
44542,74844,war
44542,74827,war
44542,74849,war
44542,74791,war
44542,74854,war
44542,68664,war
44542,74784,war
44542,74830,war
44542,74863,war
44542,74840,war
44542,74861,war
44542,74841,war
44542,74828,war
44542,86360,war
44542,74836,war
44542,74918,war
44542,74837,war
44542,74823,war
44572,74787,war
44572,78739,war
44572,78746,war
44572,74792,war
44572,78748,war
44572,68693,war
44572,78752,war
44572,74822,war
44572,68594,war
44572,68604,war
44572,78740,war
44572,78741,war
44572,68651,war
44572,74783,war
44572,78738,war
44572,74793,war
44572,74810,war
44572,80712,war
44572,78729,war
44572,86335,war
44572,78733,war
44572,78731,war
44572,74812,war
44572,74843,war
44572,78756,war
44572,80828,war
44572,78757,war
44572,78732,war
44572,78744,war
44572,78753,war
44572,78728,war
44572,78737,war
44572,78735,war
44572,74845,war
44572,74817,war
44572,74846,war
44572,78745,war
44572,74853,war
44572,74826,war
44572,78747,war
44572,74790,war
44572,80769,war
44572,78730,war
44572,74858,war
44572,78743,war
44572,78750,war
44572,78734,war
44572,74789,war
44572,74821,war
44572,74816,war
44572,74815,war
44572,75123,war
44572,74832,war
44572,78742,war
44572,74813,war
44572,86330,war
44572,78751,war
44572,80805,war
44572,78754,war
44572,74814,war
44572,74850,war
44572,75111,war
44572,78749,war
44572,74932,war
44572,74818,war
44572,74842,war
44572,74763,war
44572,78640,war
44572,74831,war
44572,74768,war
44572,78755,war
44572,74773,war
44572,74884,war
44572,74811,war
44572,78690,war
44572,78736,war
44572,74765,war
44572,75101,war
44572,74935,war
44572,74868,war
44572,75025,war
44692,29717,old_age

# macro_deaths_summary
macro counts are aggregated; no per-human ids in macro mode
